Symbol,Description,Sector,Type,Capitalization,Country,Quantity,Cost Basis,Close_Price,Prev_Price,Price_Chg,Pct_Chg,Market Value
AAPL,APPLE,IT,Stock,LargeCap,USA,5,1056.9,322.32,325.12,-2.8000000000000114,-0.87,1611.6
AUY,YAMANA GOLD INC,Materials,Stock,SmallCap,Canada,50,222.0,5.12,5.08,0.040000000000000036,0.78,256.0
BAC,BANK OF AMERICA,Financials,Stock,LargeCap,USA,20,576.95,26.78,25.99,0.7900000000000027,2.95,535.6
BND,VANGUARD TOTAL BOND,,Fixed Income,Bond,USA,8,684.24,87.34,87.55,-0.20999999999999375,-0.24,698.72
BRK-B,BERKSHIRE HATHAWAY B,Financials,Stock,LargeCap,USA,1,208.0,192.05,190.82,1.2300000000000182,0.64,192.05
CAT,CATERPILLAR INC,Industrials,Stock,LargeCap,USA,7,908.93,128.96,127.09,1.8700000000000045,1.45,902.72
CS,CREDIT SUISSE,Financials,Stock,LargeCap,Switzerland,30,454.95,10.21,10.17,0.040000000000000924,0.39,306.3
CSCO,CISCO SYSTEMS INC,IT,Stock,LargeCap,USA,14,446.79,46.86,46.94,-0.0799999999999983,-0.17,656.04
EBND,SPDR EMERGING MARKETS LOCAL BOND,,Fixed Income,Bond,USA,10,274.4,26.58,26.7,-0.120000000000001,-0.45,265.79999999999995
EMR,EMERSON ELECTRIC CO,Industrials,Stock,LargeCap,USA,10,604.95,63.13,62.92,0.21000000000000085,0.33,631.3000000000001
GM,GENERAL MOTOR,Consumer Discretionary,Stock,LargeCap,USA,10,306.0,29.16,29.07,0.08999999999999986,0.31,291.6
GOOS,CANADA GOOSE,Consumer Discretionary,Stock,SmallCap,Canada,10,339.45,24.66,25.42,-0.7600000000000016,-3.08,246.6
JNJ,JOHNSON & JOHNSON,Health Care,Stock,LargeCap,USA,3,426.0,146.73,148.65,-1.920000000000016,-1.31,440.18999999999994
JPM,JP MORGEN,Financials,Stock,LargeCap,USA,10,992.7,106.44,104.27,2.1700000000000017,2.04,1064.4
KO,THE COCA-COLA CO,Consumer Staples,Stock,LargeCap,USA,15,669.45,47.92,47.9,0.020000000000003126,0.04,718.8000000000001
KOF,COCA-COLA FEMSA,Consumer Staples,Stock,SmallCap,USA,6,317.5,44.44,45.29,-0.8500000000000014,-1.91,266.64
KR,KROGER CO,Consumer Staples,Stock,LargeCap,USA,5,162.44,33.11,32.68,0.4299999999999997,1.3,165.55
MSFT,MICROSOFT,IT,Stock,LargeCap,USA,5,168.25,182.92,185.36,-2.440000000000026,-1.33,914.5999999999999
OXY,OCCIDENTAL PETROLEUM,Energy,Stock,SmallCap,USA,10,119.5,15.55,15.45,0.10000000000000142,0.64,155.5
PFE,PFIZER INC,Health Care,Stock,LargeCap,USA,10,336.45,36.01,36.16,-0.14999999999999858,-0.42,360.09999999999997
RESI,FRONT YARD RESIDENTIAL,Real Estate,Stock,SmallCap,USA,15,171.9,8.05,8.1,-0.049999999999998934,-0.62,120.75000000000001
SBUX,STARBUCKS,Consumer Discretionary,Stock,LargeCap,USA,5,446.0,78.74,79.58,-0.8400000000000034,-1.07,393.7
SCHZ,SCHWAB US AGGREGATE BOND,,Fixed Income,Bond,USA,3,155.82,55.56,55.74,-0.17999999999999972,-0.32,166.68
SIRI,SIRIUS XM HOLDING,Communication,Stock,LargeCap,USA,10,72.2,6.45,6.25,0.20000000000000018,3.1,64.5
SPTL,SPDR LONG TERM TREASURY ETF,,Fixed Income,Bond,USA,25,1054.75,45.1,45.74,-0.6400000000000006,-1.42,1127.5
T,AT&T,Communication,Stock,LargeCap,USA,12,420.25,31.8,31.51,0.28999999999999915,0.91,381.6
TSM,TAIWAN SEMICONDUCTOR,IT,Stock,LargeCap,Taiwan,30,1043.7,54.28,53.06,1.2199999999999989,2.25,1628.4
USB,U.S. BANCORP,Financials,Stock,LargeCap,USA,5,262.5,40.07,38.68,1.3900000000000006,3.47,200.35
WFC,WELLS FARGO,Financials,Stock,LargeCap,USA,5,230.0,30.22,28.83,1.3900000000000006,4.6,151.1
XRX,XEROX HOLDINGS CORP,IT,Stock,SmallCap,USA,15,452.7,17.68,17.95,-0.2699999999999996,-1.53,265.2
